Time_s   F0_Hz
3.052098   --undefined--
3.062098   --undefined--
3.072098   --undefined--
3.082098   --undefined--
3.092098   90.316209
3.102098   90.151454
3.112098   91.103319
3.122098   93.040983
3.132098   93.900164
3.142098   92.837765
3.152098   91.606945
3.162098   89.590792
3.172098   87.229241
3.182098   91.072424
3.192098   92.309832
3.202098   91.851829
3.212098   92.023853
3.222098   91.934760
3.232098   92.151128
3.242098   91.676224
3.252098   --undefined--
3.262098   --undefined--
3.272098   --undefined--
3.282098   --undefined--
3.292098   --undefined--
3.302098   --undefined--
3.312098   --undefined--
3.322098   --undefined--
3.332098   --undefined--
3.342098   --undefined--
3.352098   --undefined--
3.362098   --undefined--
3.372098   --undefined--
3.382098   --undefined--
3.392098   --undefined--
3.402098   --undefined--
3.412098   --undefined--
3.422098   --undefined--
3.432098   --undefined--
3.442098   --undefined--
3.452098   --undefined--
3.462098   --undefined--
3.472098   --undefined--
3.482098   --undefined--
3.492098   --undefined--
3.502098   --undefined--
3.512098   --undefined--
3.522098   --undefined--
3.532098   --undefined--
3.542098   --undefined--
3.552098   --undefined--
3.562098   --undefined--
3.572098   --undefined--
3.582098   --undefined--
3.592098   --undefined--
3.602098   --undefined--
3.612098   --undefined--
3.622098   --undefined--
3.632098   --undefined--
3.642098   --undefined--
3.652098   --undefined--
3.662098   --undefined--
3.672098   --undefined--
3.682098   --undefined--
3.692098   --undefined--
3.702098   --undefined--
3.712098   --undefined--
3.722098   --undefined--
3.732098   --undefined--
3.742098   --undefined--
3.752098   --undefined--
3.762098   --undefined--
3.772098   --undefined--
3.782098   --undefined--
3.792098   --undefined--
3.802098   --undefined--
3.812098   --undefined--
3.822098   --undefined--
3.832098   --undefined--
3.842098   --undefined--
3.852098   --undefined--
3.862098   --undefined--
3.872098   --undefined--
3.882098   --undefined--
